id,group
MasterYi,2
TahmKench,2
MissFortune,4
Warwick,4
Jhin,7
Zyra,7
Urgot,14
Ashe,12
Fizz,12
Jinx,10
Soraka,10
Lux,9
Trundle,9
Malzahar,1
Garen,16
Velkoz,5
Hecarim,3
Nami,3
Teemo,3
Amumu,19
Vex,14
Vi,10
Chogath,2
Nocturne,15
Brand,15
Xerath,7
Annie,11
Evelynn,1
Vladimir,3
Morgana,6
FiddleSticks,16
Sett,11
Ziggs,11
Kayn,17
Sona,17
Caitlyn,8
Yorick,8
Maokai,4
Khazix,5
Veigar,2
DrMundo,6
Pantheon,2
Vayne,1
Sivir,3
Kayle,18
Leona,18
Lillia,4
JarvanIV,1
Yasuo,13
Zac,13
Swain,5
Janna,1
Seraphine,12
Blitzcrank,5
Tristana,6
Shyvana,1
Nasus,6
Viktor,7
MonkeyKing,8
Kassadin,8
Samira,19
Poppy,9
Sejuani,13
Rammus,9
